,Time,User,Message,Sentiment
42,109.0,7fd8a0ad505c4065ae27b24f2c9fc854556e776f,get excited when i see gifted subs but i'm never on there ,MIXED
43,111.0,c9024d2757b76ef622079ed342352983d254100f,81ee4ff26208cb3185682653ceb2fb61d1e87d43 tell him again he didn't hear you ,NEUTRAL
44,111.0,b5ed02ee157fa03ad21190d3196bd146d4737e99,profit ,MIXED
45,112.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,#teamcloakzy ,NEUTRAL
46,120.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,bro did yall know kawhi is a vegetarian ,NEUTRAL
47,121.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,mad trip ,NEGATIVE
48,136.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,imagine not being a vegetarian ,NEUTRAL
49,136.0,81ee4ff26208cb3185682653ceb2fb61d1e87d43,i said win this shit dawg lets go ,MIXED
50,142.0,1d58bc3bacd063535f8e965ba9b00bb66373e1c6,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
51,145.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
52,147.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,okc you are a vegetarian ,NEUTRAL
53,147.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
54,148.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
55,149.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
56,151.0,c9024d2757b76ef622079ed342352983d254100f,81ee4ff26208cb3185682653ceb2fb61d1e87d43 message clear roger over an out ,NEUTRAL
57,151.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype xposedsubsubhype ,NEUTRAL
58,160.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,hades hmmm ,NEUTRAL
59,169.0,43c83772e0bae59a9cb1fea04f14840b6cbdc368,lets gooooo ,NEUTRAL
60,171.0,1d58bc3bacd063535f8e965ba9b00bb66373e1c6,lul ,NEUTRAL
61,176.0,3683ac402c9ec46b661769ace2600f47636946f4,holy gifts ,POSITIVE
62,179.0,cfe4edf5847a7582a3514d787ea5b23e3e4cebf6,xposedsubspiton ,NEUTRAL
63,182.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,81ee4ff26208cb3185682653ceb2fb61d1e87d43 xposedsubrealscary xposedsubrealscary xposedsubrealscary xposedsubrealscary xposedsubrealscary xposedsubrealscary xposedsubrealscary xposedsubrealscary ,NEUTRAL
64,198.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,boonkgang trihard ,NEGATIVE
65,209.0,f58e8388f2fbe13d5df7b68618f8474610501f35,xposedsubdave xposedsubdave xposedsubdave xposedsubdave xposedsubdave xposedsubdave xposedsubdave ,NEUTRAL
66,212.0,1dc6df4b7f03c7e06cf99f1ff30db54ea19c1af1,mochez blows ,NEUTRAL
67,213.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,cool calm collected ,POSITIVE
68,214.0,1dc6df4b7f03c7e06cf99f1ff30db54ea19c1af1,holy ,NEUTRAL
69,214.0,9c448500de11820b360a52b29cbf864b04b201d2,win and ill get my cousin auston matthews to facetime you tomorrow m8 ,NEUTRAL
70,216.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,geeg ,NEUTRAL
71,222.0,1dc6df4b7f03c7e06cf99f1ff30db54ea19c1af1,cody im down to run duos ahahaha ,MIXED
72,224.0,1d58bc3bacd063535f8e965ba9b00bb66373e1c6,your time to shine andy xposedsubletsgo ,NEUTRAL
73,228.0,72145aa87af694c1127043d080c5ea4338437c0d,relax stoopid ,POSITIVE
74,231.0,ebbc9caafcfb61a8b27e42714e714c147d4e86d3,cody you should've healed fully and waited communicate better ,MIXED
75,231.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,andy needs to get scary ,NEGATIVE
76,231.0,2041fa3fa298ec72680129e466ba3f323b7cdcff,he is so bad and you are so good is that how you see it in your mind ,MIXED
77,233.0,72145aa87af694c1127043d080c5ea4338437c0d,y'all got 5 alr ,POSITIVE
78,243.0,e6179ea1ed8aa41a5ce11766782d278814b5773a,andy coming in with the 20 bomb ,NEUTRAL
79,246.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,you could've shot punched him shits elite ,NEGATIVE
80,254.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,need to start chanting andy's name in chat ,NEUTRAL
81,255.0,c4d52900e917164806441e907e29fde4a44ada99,xposed plays with friends not skill lvl guys ,NEUTRAL
82,258.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,he's needs to get ,NEGATIVE
83,260.0,0ee60520e0eb421bf8a0b28e44df674d9fab7c10,cody how does it feel to watch andy the roles have flipped lol ,NEUTRAL
84,262.0,67edda483699228d1119fc334e35201b913a71c9,0c4cdd54f9f496dfd9b6bbca7b395db163295211 not in blackout ,NEUTRAL
85,264.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,andy ,NEUTRAL
86,264.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubrealscary ,NEUTRAL
87,266.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,andy ,NEUTRAL
88,268.0,728ea0b1042e663fdfc5b88cc78d1424fa7ba429,on me team8 runs away ,NEUTRAL
89,270.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,andy ,NEUTRAL
90,273.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,67edda483699228d1119fc334e35201b913a71c9 how ,NEUTRAL
91,287.0,67edda483699228d1119fc334e35201b913a71c9,0c4cdd54f9f496dfd9b6bbca7b395db163295211 does like little to no damage ,NEUTRAL
92,294.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,0d00cb260bf8f468cf3a7c39e5bbf67494aa0bb5 gas him up ,NEUTRAL
93,298.0,1dc6df4b7f03c7e06cf99f1ff30db54ea19c1af1,honestly mochez plays like hes scared 200% of the time ,NEGATIVE
94,300.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,67edda483699228d1119fc334e35201b913a71c9 oh fr that's weird ,NEUTRAL
95,303.0,691c80c68718d653f040636671ab7ea03d380c25,how this work chat ,NEUTRAL
96,308.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,i didn't know that ,NEUTRAL
97,311.0,1981c1b9b27ea17a220e9ead3150206af685c965,no ammo ,NEGATIVE
98,313.0,67edda483699228d1119fc334e35201b913a71c9,0c4cdd54f9f496dfd9b6bbca7b395db163295211 yeah cuz of armour and shit ,NEGATIVE
99,314.0,c4d52900e917164806441e907e29fde4a44ada99,rules ,NEUTRAL
100,315.0,ba63d2e0ec0b0efa8e631a38620fd275ec4dc0be,67edda483699228d1119fc334e35201b913a71c9 does 25 damage i think ,MIXED
101,317.0,664b00abcef53f27942f40731e8a8f2a5f8134fa,lul ,NEUTRAL
102,317.0,d14a43e06ec90fae03f20e393fcb9759f353dc03,yikes ,NEUTRAL
103,319.0,1dc6df4b7f03c7e06cf99f1ff30db54ea19c1af1,what is that aim ,NEUTRAL
104,323.0,94d275a302ad5d70607a10c1e0cad62109af2ee9,lul ,NEUTRAL
105,324.0,d14a43e06ec90fae03f20e393fcb9759f353dc03,that was brutal to watch hehe ,MIXED
106,329.0,4643e5d4b39c59a5bfc41076004ef67625761d93,lmfao ,POSITIVE
107,331.0,7f65a422e6d964f792432ae839190bb1c7a45114,omg ,NEUTRAL
108,331.0,67edda483699228d1119fc334e35201b913a71c9,ba63d2e0ec0b0efa8e631a38620fd275ec4dc0be yeah in between tht and 50 ,NEUTRAL
109,332.0,d14a43e06ec90fae03f20e393fcb9759f353dc03,<3 ,NEUTRAL
110,333.0,f4082dc228d3e69e03ede3d02e874e5069e800b1,the aim lookin crispy ,POSITIVE
111,334.0,7f65a422e6d964f792432ae839190bb1c7a45114,porr thing ,NEUTRAL
112,336.0,8d947a0c120f6d84903573fa10e55ba5a93f686f,wow ,POSITIVE
113,336.0,82d7b67c69bd8171e7bd2c4c4ab882bc734571c0,lmao ,POSITIVE
114,336.0,b05f548f28b713f417140316a9e70531eeba30d7,ewwwwww ,NEUTRAL
115,337.0,691c80c68718d653f040636671ab7ea03d380c25,omg he so bad ,NEGATIVE
116,338.0,029a5edfd3ec29923c0470c21ef94718f40a5a90,aim was terrible ,NEGATIVE
117,339.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,xposedsubvibes xposedsubvibes xposedsubvibes xposedsubvibes xposedsubvibes xposedsubvibes xposedsubvibes xposedsubvibes xposedsubvibes ,NEUTRAL
118,340.0,dc3236206109cfa8b263b7f01e6a91529107fa51,that aim lulw ,NEUTRAL
119,341.0,9e93ab3dad08b7c7cb96f80a92361841831d4fa9,xposedsubbot xposedsubbot xposedsubbot xposedsubbot xposedsubbot xposedsubbot ,NEUTRAL
120,341.0,f58e8388f2fbe13d5df7b68618f8474610501f35,xposedsubrealscary xposedsubrealscary xposedsubrealscary ,NEUTRAL
121,341.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubspiton xposedsubspiton ,NEUTRAL
122,341.0,d136298abc930e3a6f19cfff566139a5cc406242,ouch ,NEGATIVE
123,343.0,b05f548f28b713f417140316a9e70531eeba30d7,omg that was asssss ,MIXED
124,343.0,691c80c68718d653f040636671ab7ea03d380c25,lol ,MIXED
125,345.0,1dc6df4b7f03c7e06cf99f1ff30db54ea19c1af1,definite reg issue ,MIXED
126,345.0,9e93ab3dad08b7c7cb96f80a92361841831d4fa9,xposedsubbot xposedsubbot xposedsubbot ,NEUTRAL
127,345.0,e6179ea1ed8aa41a5ce11766782d278814b5773a,shroud aim kappa ,NEUTRAL
128,346.0,72145aa87af694c1127043d080c5ea4338437c0d,can't believe this is someone you play with ,POSITIVE
129,347.0,9fdaa80c905dc0bcee4a8104602f34e4f022a3ad,yuck ,NEGATIVE
130,349.0,691c80c68718d653f040636671ab7ea03d380c25,lmaooooo ,POSITIVE
131,349.0,7be538c12a69cfb4515e8ab767899fc20d21d50f,:potato: :potato: :potato: :potato: ,NEUTRAL
132,352.0,72145aa87af694c1127043d080c5ea4338437c0d,just as bad as steve lmao ,NEGATIVE
133,353.0,d136298abc930e3a6f19cfff566139a5cc406242,ahaha ,NEUTRAL
134,354.0,82d7b67c69bd8171e7bd2c4c4ab882bc734571c0,sheeeeesh ,NEUTRAL
135,357.0,2d06e8645ed4ec7317b3fc4a1274c4b4fa22bfd0,xposedsublogo1 xposedsublogo1 xposedsublogo1 xposedsublogo1 xposedsublogo1 ,NEUTRAL
136,357.0,7a7c0ae2745942eaa5b8971329514c127dfd5c78,andy turn ur aimbot off that's against the rules ,NEGATIVE
137,357.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,toxic chat ,NEGATIVE
138,358.0,c9daf71665318d61aab1e30d8e32315c26a06ff0,what did i just watch :/ ,NEGATIVE
139,359.0,94d275a302ad5d70607a10c1e0cad62109af2ee9,i think he was nervous ,NEUTRAL
140,359.0,6f4b11bdbd803a811d2164283424c5234e0fa13a,no reg dude ,NEUTRAL
141,359.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,damn i'm gonna keep it real chief that was not good ,NEGATIVE
142,360.0,d14a43e06ec90fae03f20e393fcb9759f353dc03,72145aa87af694c1127043d080c5ea4338437c0d he plays with friends not skill ,NEGATIVE
143,360.0,4643e5d4b39c59a5bfc41076004ef67625761d93,dang no reg kappa ,NEGATIVE
144,361.0,f4082dc228d3e69e03ede3d02e874e5069e800b1,laggin ,NEUTRAL
145,362.0,6ab812454b7da86ebf38f6c817af1ac34a64cee2,hesssss nervousssss ,NEGATIVE
146,362.0,691c80c68718d653f040636671ab7ea03d380c25,hahahaha ,NEUTRAL
147,363.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,chill the fuck out guys not everybody is naturally nasty ,NEGATIVE
148,365.0,7f65a422e6d964f792432ae839190bb1c7a45114,holy god ,NEUTRAL
149,370.0,492ba12493aab7ed03261a2184854ea6bc551fa2,leave him alone ,NEUTRAL
150,370.0,36dbd358ba18615267dcf95ccc719130b810ac97,no reg kappahd ,NEGATIVE
151,374.0,f58e8388f2fbe13d5df7b68618f8474610501f35,andy come on bud i know you got this next game ,NEUTRAL
152,375.0,8d947a0c120f6d84903573fa10e55ba5a93f686f,botiana he is ,NEUTRAL
153,375.0,8747380be76a91b5bf82cf5b9368a0ee0d8a92ba,xposedsubrip ,NEUTRAL
154,376.0,82d7b67c69bd8171e7bd2c4c4ab882bc734571c0,true ,MIXED
155,377.0,3683ac402c9ec46b661769ace2600f47636946f4,drakstertroll ,NEUTRAL
156,377.0,f4082dc228d3e69e03ede3d02e874e5069e800b1,200 ping ,NEUTRAL
157,380.0,8747380be76a91b5bf82cf5b9368a0ee0d8a92ba,xposedsubbot ,NEUTRAL
158,381.0,c4d52900e917164806441e907e29fde4a44ada99,chill out on andy guys mods time them out anything negative against andy time out ,MIXED
159,383.0,94d275a302ad5d70607a10c1e0cad62109af2ee9,you got this andy bro ,NEUTRAL
160,383.0,7fd8a0ad505c4065ae27b24f2c9fc854556e776f,he nervous for sure all good ,MIXED
161,385.0,45b728b8e142a88e0222573c1ce30d29359c3b48,profit ,MIXED
162,385.0,7be538c12a69cfb4515e8ab767899fc20d21d50f,andy aimboting for sure ,NEUTRAL
163,385.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,all good andy ,POSITIVE
164,386.0,691c80c68718d653f040636671ab7ea03d380c25,e76355dbb6662d03f7c96aba73d4327fe01356b3 ok but y he playing wagers ,NEUTRAL
165,387.0,07747d005f5ae1318298af269951e4e90b1bac37,did i miss the $500 wager? ,NEUTRAL
166,387.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,“i let it get to me” ,NEUTRAL
167,388.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,time em out ,NEUTRAL
168,390.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,have been optic ,NEUTRAL
169,391.0,bec9928dd2e86ab7cea688c3c557662b2b0c5efd,yo can we have some respect for andy or what ,MIXED
170,396.0,ce916ce4c1dc6b485e67f10a2dd61d208bf1a6db,what song is this i have been trying to figure it out forever lol ,NEUTRAL
171,401.0,1dc6df4b7f03c7e06cf99f1ff30db54ea19c1af1,ahahha mikiii speeaking facts ,MIXED
172,406.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,t up boys you got this shit ,NEGATIVE
173,409.0,0ee60520e0eb421bf8a0b28e44df674d9fab7c10,theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevesubstonecold theste10stevefired theste10stevefired theste10stevefired theste10stevefired theste10stevefired theste10stevefired theste10stevefired theste10stevefired theste10stevefired theste10stevefired theste10stevefired thest ,NEUTRAL
174,409.0,d14a43e06ec90fae03f20e393fcb9759f353dc03,type in sometimes that is not enough ; ce916ce4c1dc6b485e67f10a2dd61d208bf1a6db ,NEUTRAL
175,411.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,xposedsubletsgo xposedsubletsgo xposedsubletsgo xposedsubletsgo xposedsubletsgo xposedsubletsgo xposedsubletsgo xposedsubletsgo ,NEUTRAL
176,412.0,23e5354593db3cb1a35d3504f355d6f396640c6a,regain ,MIXED
177,413.0,9bc0e046005e66cc95cc07b7e38de8ac7889fb67,ralliediq ,NEUTRAL
178,413.0,eba38a51ceef173902f3c5c3306541977b5c0f37,ce916ce4c1dc6b485e67f10a2dd61d208bf1a6db in bloom blink 182 ,NEUTRAL
179,415.0,c4d52900e917164806441e907e29fde4a44ada99,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1 just you in here man ,NEUTRAL
180,416.0,8747380be76a91b5bf82cf5b9368a0ee0d8a92ba,xposedsubbot xposedsubbot xposedsubbot ,NEUTRAL
181,420.0,5cfc6dfaca43b4e3f0b38facef8d981e1518888d,what did i miss boys ,NEGATIVE
182,423.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,they call 0d00cb260bf8f468cf3a7c39e5bbf67494aa0bb5 mr big game ,NEUTRAL
183,424.0,67edda483699228d1119fc334e35201b913a71c9,deadass andy should practice blackout a fuck ton off stream to get average ,NEGATIVE
184,424.0,3c9612863228a11808e3a1d9d3da30e73dca0a9d,watching xposed at the club ,NEUTRAL
185,426.0,7a7c0ae2745942eaa5b8971329514c127dfd5c78,what song is this ,NEUTRAL
186,432.0,5cfc6dfaca43b4e3f0b38facef8d981e1518888d,$500 a w or l ,NEUTRAL
187,435.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,i think theres one more mod i may have missed a message or two apologies c4d52900e917164806441e907e29fde4a44ada99 ,NEUTRAL
188,435.0,3c9612863228a11808e3a1d9d3da30e73dca0a9d,that's closed a hour ago ,NEUTRAL
189,437.0,f4a5fb16f01e4f35c2cfe37dccc7ee84fcb6a983,6d9cdd389464e8fd231b9ddbba99854f75abc122 thank ,POSITIVE
190,441.0,9a2af25ed4df25aef3a23d05451116cdb0084a2b,6d9cdd389464e8fd231b9ddbba99854f75abc122 thank thank much ,POSITIVE
191,442.0,0ee60520e0eb421bf8a0b28e44df674d9fab7c10,5cfc6dfaca43b4e3f0b38facef8d981e1518888d 500 wager got 5 1st game ,NEUTRAL
192,444.0,67edda483699228d1119fc334e35201b913a71c9,he plays for a good bit all the time ,POSITIVE
193,444.0,72d95fc26b737b8e551fcf81b98f01974d51bfa7,hey guys ,NEUTRAL
194,450.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,chat what's y'all irl names xposedsubsteve ,NEUTRAL
195,453.0,c4d52900e917164806441e907e29fde4a44ada99,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1 your doing good man ,POSITIVE
196,457.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,:( ,NEGATIVE
197,462.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,:)** ,NEUTRAL
198,462.0,5cfc6dfaca43b4e3f0b38facef8d981e1518888d,ooo ,NEUTRAL
199,463.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,9a2af25ed4df25aef3a23d05451116cdb0084a2b f4a5fb16f01e4f35c2cfe37dccc7ee84fcb6a983 wtf ,NEUTRAL
200,466.0,c4d52900e917164806441e907e29fde4a44ada99,72d95fc26b737b8e551fcf81b98f01974d51bfa7 you watching lucifer ,NEUTRAL
201,467.0,09e1499f6989fd0a4e9f48d582a8eb91a451a6a3,song ,NEUTRAL
202,474.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,natz back we got 3 mods ,NEUTRAL
203,476.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,hey 72d95fc26b737b8e551fcf81b98f01974d51bfa7 ,NEUTRAL
204,476.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,cody big game xposed ,NEUTRAL
205,476.0,0ee60520e0eb421bf8a0b28e44df674d9fab7c10,my real name is ben dover ,NEUTRAL
206,476.0,07747d005f5ae1318298af269951e4e90b1bac37,0c4cdd54f9f496dfd9b6bbca7b395db163295211 harry ballzanya ,NEUTRAL
207,477.0,3c9612863228a11808e3a1d9d3da30e73dca0a9d,can't sleep :upside-down_face: ,NEUTRAL
208,478.0,f4a5fb16f01e4f35c2cfe37dccc7ee84fcb6a983,6d9cdd389464e8fd231b9ddbba99854f75abc122 no thank ,NEGATIVE
209,478.0,d14a43e06ec90fae03f20e393fcb9759f353dc03,blink 182- bloom 09e1499f6989fd0a4e9f48d582a8eb91a451a6a3 ,NEUTRAL
210,478.0,7be538c12a69cfb4515e8ab767899fc20d21d50f,fazeandy ,NEUTRAL
211,482.0,02265ea462298af8c6b918f4803afd5f079c20b3,shook his hand out and everything after that ,NEUTRAL
212,484.0,09e1499f6989fd0a4e9f48d582a8eb91a451a6a3,wagers ,NEUTRAL
213,489.0,9a2af25ed4df25aef3a23d05451116cdb0084a2b,6d9cdd389464e8fd231b9ddbba99854f75abc122 truly man no big thank ,NEGATIVE
214,490.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,100t xposed ,NEUTRAL
215,492.0,72d95fc26b737b8e551fcf81b98f01974d51bfa7,c4d52900e917164806441e907e29fde4a44ada99 i might rn tbh ,NEUTRAL
216,492.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,0c4cdd54f9f496dfd9b6bbca7b395db163295211 they call me big dirty ,MIXED
217,493.0,07747d005f5ae1318298af269951e4e90b1bac37,09e1499f6989fd0a4e9f48d582a8eb91a451a6a3 in bloom by beck deep ,NEUTRAL
218,493.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,faze up faze down ,NEGATIVE
219,497.0,b05f548f28b713f417140316a9e70531eeba30d7,why does cody like to play with people that suck at cod ,NEGATIVE
220,506.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,9a2af25ed4df25aef3a23d05451116cdb0084a2b wtf lol ,MIXED
221,511.0,c4d52900e917164806441e907e29fde4a44ada99,72d95fc26b737b8e551fcf81b98f01974d51bfa7 i'm telling you your gonna love it ,POSITIVE
222,514.0,09e1499f6989fd0a4e9f48d582a8eb91a451a6a3,thanks 07747d005f5ae1318298af269951e4e90b1bac37 ,POSITIVE
223,519.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,b05f548f28b713f417140316a9e70531eeba30d7 it's called irl friends ,NEUTRAL
